Registry,Assignment,Organization Name,Organization Address
MA-L,002473,3COM EUROPE LTD,Peoplebuilding 2 Hemel Hempstead HERTS. GB HP2 4NW 
MA-L,002257,3COM EUROPE LTD,Peoplebuilding 2 Hemel Hempstead HERTS. GB HP2 4NW 
MA-L,001EC1,3COM EUROPE LTD,Peoplebuilding 2 Hemel Hempstead HERTS. GB HP2 4NW 
MA-L,001AC1,3Com Ltd,Peoplebuilding 2 Hemel Hempstead Herts GB HP2 4NW 
MA-L,0016E0,3Com Ltd,Peoplebuilding 2 Hemel Hempstead Herts GB HP2 4NW 
MA-L,0012A9,3Com Ltd,Peoplebuilding 2 Hemel Hempstead Herts GB HP2 4NW 
MA-L,002654,3Com Corporation,5353 Betsy Ross Drive Santa Clara California US 95054-1162 
MA-L,000A04,3Com Ltd,Peoplebuilding 2 Hemel Hempstead Herts GB HP2 4NW 
MA-L,00029C,3COM,405 SPRING HILL ROAD SHARON NH US 03458 
MA-L,005004,3COM CORPORATION,5400 BAYFRONT PLAZA SANTA CLARA CA US 95052 
MA-L,0020AF,3COM CORPORATION,5400 BAYFRONT PLAZA SANTA CLARA CA US 95052 
MA-L,4001C6,3COM EUROPE LTD,Peoplebuilding 2 Hemel Hempstead HERTS. GB HP2 4NW 
MA-L,00147C,3Com Ltd,Peoplebuilding 2 Hemel Hempstead Herts GB HP2 4NW 
MA-L,000BAC,3Com Ltd,Peoplebuilding 2 Hemel Hempstead Herts GB HP2 4NW 
MA-L,000A5E,3COM Corporation,5400 Bayfront Plaza Santa Clara CA US 95052-8145 
MA-L,02608C,3COM CORPORATION,5400 BAYFRONT PLAZA SANTA CLARA CA US 95052 
MA-L,00068C,3COM CORPORATION,5400 BAYFRONT PLAZA SANTA CLARA CA US 95052 
MA-L,000103,3COM CORPORATION,5400 BAYFRONT PLAZA SANTA CLARA CA US 95052 
MA-L,00301E,3COM EUROPE LTD.,BOUNDARY WAY  UNITED GB KINGDOM 
MA-L,00D096,3COM EUROPE LTD.,BOUNDARY WAY  UNITED GB KINGDOM 
MA-L,005099,"3COM EUROPE, LTD.",BOUNDARY WAY HERTS. HP2 7YU  GB  
MA-L,009004,3COM EUROPE LTD.,"3COM CENTRE, BOUNDARY WAY HERTS.  HP2 7YU  GB  "
MA-L,08004E,3COM EUROPE LTD.,3COM CENTRE  UNITED GB KINGDOM 
MA-L,20FDF1,3COM EUROPE LTD,Peoplebuilding 2 Hemel Hempstead HERTS. GB HP2 4NW 
MA-L,001CC5,3Com Ltd,Peoplebuilding 2 Hemel Hempstead Herts GB HP2 4NW 
MA-L,000FCB,3Com Ltd,Peoplebuilding 2 Hemel Hempstead Herts GB HP2 4NW 
MA-L,0050DA,3COM CORPORATION,5400 BAYFRONT PLAZA SANTA CLARA CA US 95052 
MA-L,00104B,3COM CORPORATION,5400 BAYFRONT PLAZA SANTA CLARA CA US 95052 
MA-L,006097,3COM CORPORATION,5400 BAYFRONT PLAZA SANTA CLARA CA US 95052 
MA-L,006008,3COM CORPORATION,5400 BAYFRONT PLAZA SANTA CLARA CA US 95052 
MA-L,00A024,3COM CORPORATION,5400 BAYFRONT PLAZA SANTA CLARA CA US 95052 
MA-L,00608C,3COM CORPORATION,5400 BAYFRONT PLAZA SANTA CLARA CA US 95052 
MA-L,000E6A,3Com Ltd,Peoplebuilding 2 Hemel Hempstead Herts GB HP2 4NW 
MA-L,00051A,3COM EUROPE LTD.,3COM CENTRE  UNITED GB KINGDOM 
MA-L,00040B,3COM EUROPE LTD.,BOUNDARY WAY  UNITED GB KINGDOM 
MA-L,000102,3COM CORPORATION,5400 BAYFRONT PLAZA SANTA CLARA CA US 95052 
MA-L,00D0D8,3Com Corporation,2133 LEGHORN STREET MOUNTAIN VIEW CA US 94043 
MA-L,00105A,3COM CORPORATION,5400 BAYFRONT PLAZA SANTA CLARA CA US 95052 
MA-L,00186E,3Com Ltd,Peoplebuilding 2 Hemel Hempstead Herts GB HP2 4NW 
MA-L,000D54,3Com Ltd,Peoplebuilding 2 Hemel Hempstead Herts GB HP2 4NW 
MA-L,02C08C,3COM CORPORATION,5400 BAYFRONT PLAZA SANTA CLARA CA US 95052 
