Registry,Assignment,Organization Name,Organization Address
MA-L,CC46D6,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,58AC78,"Cisco Systems, Inc",80 West Tasman Dr. San Jose CA US 94568 
MA-L,001217,"Cisco-Linksys, LLC",121 Theory Dr. Irvine CA US 92612 
MA-L,000C41,"Cisco-Linksys, LLC",121 Theory Dr. Irvine CA US 92612 
MA-L,000F66,"Cisco-Linksys, LLC",121 Theory Dr. Irvine CA US 92612 
MA-L,44E08E,Cisco SPVTG,5030 Sugarloaf Parkway Lawrenceville GA US 30044 
MA-L,185933,Cisco SPVTG,5030 Sugarloaf Parkway Lawrenceville GA US 30044 
MA-L,E448C7,Cisco SPVTG,5030 Sugarloaf Pkwy Lawrenceville GA US 30044 
MA-L,24767D,Cisco SPVTG,5030 Sugarloaf Pkwy Lawrenceville GA US 30044 
MA-L,2CABA4,Cisco SPVTG,5030 Sugarloaf Parkway Lawrenceville GA US 30044 
MA-L,00107B,"Cisco Systems, Inc",170 W.TASMAN DR.-SJA-2 SAN JOSE CA US 95134-1706 
MA-L,00906D,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0090BF,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,005080,"Cisco Systems, Inc",170 W. TASMAN DR. SAN JOSE CA US 95134-1706 
MA-L,F4CFE2,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,501CBF,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,88F031,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,508789,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,381C1A,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,F40F1B,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,BC671C,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,A0ECF9,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,D46D50,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,1CE85D,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,C47295,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,A0554F,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,84B802,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,BCC493,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,001947,Cisco SPVTG,5030 Sugarloaf Parkway Lawrenceville GA US 30044 
MA-L,0022CE,Cisco SPVTG,5030 Sugarloaf Parkway Lawrenceville GA US 30042 
MA-L,F02929,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,ECE1A9,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,7C69F6,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,C08C60,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,C0255C,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,885A92,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,E4C722,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,C07BBC,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,0090F2,"Cisco Systems, Inc",170 W. TASMAN DR. SAN JOSE CA US 95134-1706 
MA-L,00173B,"Cisco Systems, Inc",170 West Tasman Dr. San Jose CA US 95134-1706 
MA-L,00400B,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
MA-L,006009,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
MA-L,006047,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
MA-L,0006C1,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
MA-L,00E014,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
MA-L,00E01E,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
MA-L,ACF2C5,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,0010FF,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
MA-L,34BDC8,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,54A274,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,5897BD,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,046C9D,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,F44B2A,Cisco SPVTG,5030 Sugarloaf Parkway Lawrenceville GA US 30044 
MA-L,74547D,Cisco SPVTG,5030 Sugarloaf Parkway Lawrenceville GA US 30044 
MA-L,10EA59,Cisco SPVTG,5030 Sugarloaf Parkway Lawrenceville GA US 30044 
MA-L,C8FB26,Cisco SPVTG,5030 Sugarloaf Parkway Lawrenceville GA US 30044 
MA-L,105F49,Cisco SPVTG,5030 Sugarloaf Parkway Lawrenceville GA US 30044 
MA-L,64D814,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,48F8B3,"Cisco-Linksys, LLC",121 Theory Drive Irvine California US 92612 
MA-L,18339D,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,5C5015,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,A44C11,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,10BD18,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,00DEFB,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,D4A02A,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,649EF3,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,D824BD,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,08D09F,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,64AE0C,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,D0C282,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,B8621F,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,405539,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,B8BEBF,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,E84040,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,40F4EC,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,D0D0FD,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,58BC27,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,A8B1D4,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,C84C75,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,3037A6,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,68EFBD,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,081FF3,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,F4ACC1,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,64168D,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,003A99,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,006440,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0025B4,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0026CA,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0024C3,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,002497,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,002584,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,002414,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,00226B,"Cisco-Linksys, LLC",121 Theory Drive Irvine California US 92612 
MA-L,002156,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,001EF6,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,001F9D,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,001F26,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,001F6D,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,001E4A,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,001E7A,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,001E79,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,001D46,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,001DE5,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,001E14,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,001CF9,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,001BD5,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,001B2B,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,001C0F,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0019E8,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,001A6D,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,001818,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0017E0,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,001906,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0018B9,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,001646,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0015F9,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0014A8,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0012D9,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,000ED7,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,000E39,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,000DEC,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,000E84,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,000BBF,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,000C30,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,000A8B,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,000B5F,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,000A41,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,00097B,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,00097C,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0007EB,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0008A4,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,00087D,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,000750,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,000784,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,000501,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,000574,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0004DE,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,000427,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0003E4,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0003A0,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0001C9,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0001C7,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,00024A,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,00036C,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0002BA,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,00027D,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,003080,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,003024,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,00D0FF,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0030A3,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,003040,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,00B064,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,003019,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,00D097,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,003071,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,00D079,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,00351A,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,00CCFC,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,008E73,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,004268,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,003A7D,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,00F663,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,00906F,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0090A6,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,0090AB,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
MA-L,7426AC,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,B000B4,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,2834A2,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,641225,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,544A00,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,5067AE,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,BC16F5,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,6899CD,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,F44E05,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,0CF5A4,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,5CFC66,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,D0A5A6,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,3C5EC3,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,64F69D,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,74A2E6,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,204C9E,"Cisco Systems, Inc",170 West Tasman Drive San Jose CA US 95134 
MA-L,00900C,"Cisco Systems, Inc",170 W. TASMAN DR. SAN JOSE CA US 95134-1706 
MA-L,001079,"Cisco Systems, Inc",170 W. TASMAN DR. SAN JOSE CA US 95134-1706 
MA-L,00102F,"Cisco Systems, Inc",170 W. TASMAN DR. SAN JOSE CA US 95134-1706 
MA-L,000E08,"Cisco-Linksys, LLC",170 West Tasman Dr. San Jose CA US 95134 
MA-L,00602F,"Cisco Systems, Inc",170 WEST TASMAN DRIVE SAN JOSE CA US 95134-1706 
