Registry,Assignment,Organization Name,Organization Address
MA-L,001DB5,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,00239C,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,80711F,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,28C0DA,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,648788,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,A8D0E5,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,0881F4,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,5C5EAB,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,7819F7,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,2C2172,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,88E0F3,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,4C9614,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,3C8AB0,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,B0C69A,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,009069,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,204E71,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,F4B52F,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,88A25E,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,001BC0,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,0C0535,Juniper Systems,1132 W. 1700 N. Logan UT US 84321 
MA-L,DC38E1,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,40A677,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,0C8610,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,EC3EF7,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,0014F6,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,00121E,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,0010DB,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,307C5E,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,002688,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,841888,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,40B4F0,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,0017CB,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,CCE17F,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,44F477,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,5C4527,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,F01C2D,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,F8C001,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,78FE3D,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,54E032,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,3C6104,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,0019E2,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,001F12,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,0024DC,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,50C58D,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,000585,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,003146,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,80ACAC,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,AC4BC8,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,B0A86E,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,3C94D5,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,288A1C,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,100E7E,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,84B59C,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,544B8C,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,541E56,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,64649B,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,2C6BF5,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,002283,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,F4CC55,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,EC13DB,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
MA-L,002159,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
