Registry,Assignment,Organization Name,Organization Address
MA-L,001217,"Cisco-Linksys, LLC",121 Theory Dr. Irvine CA US 92612 
MA-L,000C41,"Cisco-Linksys, LLC",121 Theory Dr. Irvine CA US 92612 
MA-L,000F66,"Cisco-Linksys, LLC",121 Theory Dr. Irvine CA US 92612 
MA-L,48F8B3,"Cisco-Linksys, LLC",121 Theory Drive Irvine California US 92612 
MA-L,00226B,"Cisco-Linksys, LLC",121 Theory Drive Irvine California US 92612 
MA-L,000625,"The Linksys Group, Inc.",17401 Armstrong Ave. Irvine CA US 92614 
MA-L,000E08,"Cisco-Linksys, LLC",170 West Tasman Dr. San Jose CA US 95134 
MA-L,C8D719,"Cisco-Linksys, LLC",121 Theory Drive Irvine  US 92612 
MA-L,001839,"Cisco-Linksys, LLC",121 Theory Dr. Irvine CA US 92612 
MA-L,001EE5,"Cisco-Linksys, LLC",121 Theory Drive Irvine  US 92612 
MA-L,C8B373,"Cisco-Linksys, LLC",121 Theory Drive Irvine California US 92612 
MA-L,002369,"Cisco-Linksys, LLC",121 Theory Drive Irvine California US 92612 
MA-L,002129,"Cisco-Linksys, LLC",121 Theory Drive Irvine California US 92612 
MA-L,001D7E,"Cisco-Linksys, LLC",121 Theory Drive Irvine California US 92612 
MA-L,0016B6,"Cisco-Linksys, LLC",121 Theory Dr. Irvine CA US 92612 
MA-L,0018F8,"Cisco-Linksys, LLC",121 Theory Drive Irvine CA US 92612 
MA-L,20AA4B,"Cisco-Linksys, LLC",121 Theory Drive Irvine California US 92612 
MA-L,586D8F,"Cisco-Linksys, LLC",121 Theory Drive Irvine California US 92612 
MA-L,98FC11,"Cisco-Linksys, LLC",121 Theory Drive Irvine California US 92612 
MA-L,0014BF,"Cisco-Linksys, LLC",121 Theory Dr. Irvine CA US 92612 
MA-L,001310,"Cisco-Linksys, LLC",121 Theory Dr. Irvine CA US 92612 
MA-L,C0C1C0,"Cisco-Linksys, LLC",121 Theory Drive Irvine California US 92612 
MA-L,687F74,"Cisco-Linksys, LLC",121 Theory Drive Irvine California US 92612 
MA-L,001C10,"Cisco-Linksys, LLC",121 Theory Drive Irvine California US 92612 
MA-L,00259C,"Cisco-Linksys, LLC",121 Theory Drive Irvine California US 92612 
MA-L,001A70,"Cisco-Linksys, LLC",121 Theory Drive Irvine California US 92612 
MA-L,00045A,"The Linksys Group, Inc.",17401 Armstrong Ave. Irvine CA US 92614 
