Registry,Assignment,Organization Name,Organization Address
MA-L,2C3033,NETGEAR,350 East Plumeria Drive San Jose null US 95134 
MA-L,2CB05D,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,00146C,NETGEAR,4500 Great America Parkway Santa Clara CA US 95054 
MA-L,A42B8C,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,04A151,NETGEAR,350 EAST PLUMERIA DRIVE SAN JOSE CALIFORNIA US 95134 
MA-L,28C68E,NETGEAR,350 EAST PLUMERIA DRIVE SAN JOSE CALIFORNIA US 95134 
MA-L,504A6E,NETGEAR,350 EAST PLUMERIA DRIVE SAN JOSE CALIFORNIA US 95134 
MA-L,C43DC7,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,000FB5,NETGEAR,4500 Great America Parkway Santa Clara CA US 95054 
MA-L,00095B,NETGEAR,4500 Great America Parkway Santa Clara CA US 95054 
MA-L,F87394,NETGEAR,350 EAST PLUMERIA DRIVE SAN JOSE CALIFORNIA US 95134 
MA-L,C0FFD4,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,405D82,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,803773,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,10DA43,NETGEAR,350 East Plumeria Drive San Jose  US 95134 
MA-L,204E7F,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,A021B7,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,0024B2,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,C03F0E,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,001F33,NETGEAR,4500 Great America Parkway Santa Clara CA US 95054 
MA-L,841B5E,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,506A03,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,6CB0CE,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,100D7F,NETGEAR,350 EAST PLUMERIA DRIVE SAN JOSE CALIFORNIA US 95134 
MA-L,B07FB9,NETGEAR,350 East Plumeria Drive San Jose  US 95134 
MA-L,744401,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,E091F5,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,001B2F,NETGEAR,4500 Great America Parkway Santa Clara CA US 95054 
MA-L,00223F,NETGEAR,4500 Great America Parkway Santa Clara CA US 95054 
MA-L,E0469A,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,008EF2,NETGEAR,350 EAST PLUMERIA DRIVE SAN JOSE CALIFORNIA US 95134 
MA-L,4494FC,NETGEAR,350 EAST PLUMERIA DRIVE SAN JOSE CALIFORNIA US 95134 
MA-L,20E52A,NETGEAR,350 EAST PLUMERIA DRIVE SAN JOSE CALIFORNIA US 95134 
MA-L,9CD36D,NETGEAR,350 EAST PLUMERIA DRIVE SAN JOSE CALIFORNIA US 95134 
MA-L,C40415,NETGEAR,350 EAST PLUMERIA DRIVE SAN JOSE CALIFORNIA US 95134 
MA-L,08BD43,NETGEAR,350 EAST PLUMERIA DRIVE SAN JOSE CALIFORNIA US 95134 
MA-L,E4F4C6,NETGEAR,350 East Plumeria Drive San Jose California US 95134 
MA-L,30469A,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,0026F2,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,00184D,NETGEAR,4500 Great America Parkway Santa Clara CA US 95054 
MA-L,001E2A,NETGEAR,4500 Great America Parkway Santa Clara CA US 95054 
MA-L,E8FCAF,NETGEAR,350 EAST PLUMERIA DRIVE SAN JOSE CALIFORNIA US 95134 
MA-L,4C60DE,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,A06391,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,DCEF09,NETGEAR,350 East Plumeria Drive San Jose CA US 95134 
MA-L,200CC8,NETGEAR,350 EAST PLUMERIA DRIVE SAN JOSE CALIFORNIA US 95134 
