Registry,Assignment,Organization Name,Organization Address
MA-L,1C69A5,BlackBerry RTS,451 Phillip Street Waterloo ON CA N2L 3X2 
MA-L,70AAB2,BlackBerry RTS,451 Phillip Street Waterloo ON CA N2L 3X2 
MA-L,0026FF,BlackBerry RTS,440 Phillip Street Waterloo Ontario CA N2L 5W9 
MA-L,406F2A,BlackBerry RTS,295 Phillip Street Waterloo Ontario CA N2V 2S7 
MA-L,002557,BlackBerry RTS,440 Phillip Street Waterloo Ontario CA N2L 5W9 
MA-L,001CCC,BlackBerry RTS,305 Phillip Street Waterloo Ontario CA N2L 3W8 
MA-L,94EBCD,BlackBerry RTS,295 Phillip Street Waterloo Ontario CA N2L3W8 
MA-L,A4E4B8,BlackBerry RTS,295 Phillip Street Waterloo Ontario CA N2L 3W8 
MA-L,F40B93,BlackBerry RTS,451 Phillip Street Waterloo ON CA N2L 3X2 
MA-L,68ED43,BlackBerry RTS,451 Phillip Street Waterloo ON CA N2L 3X2 
MA-L,34BB1F,BlackBerry RTS,451 Phillip Street Waterloo ON CA N2L 3X2 
MA-L,489D24,BlackBerry RTS,451 Phillip Street Waterloo ON CA N2L 3X2 
MA-L,000F86,BlackBerry RTS,295 Phillip Street Waterloo Ontario CA N2L 3W8 
