Registry,Assignment,Organization Name,Organization Address
MA-L,BC3AEA,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,WUSHA,CHANG'AN,DONGGUAN,GUANGDONG,CHINA DONGGUAN GUANGDONG CN 523860 "
MA-L,E8BBA8,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,WUSHA,CHANG'AN,DONGGUAN,GUANGDONG,CHINA DONGGUAN GUANGDONG CN 523860 "
MA-L,8C0EE3,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,WUSHA,CHANG'AN DONGGUAN GUANGDONG CN 523860 "
MA-L,2C5BB8,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,WUSHA,CHANG'AN,DONGGUAN,GUANGDONG,CHINA DONGGUAN GUANGDONG CN 523860 "
MA-L,B0AA36,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",NO.18 HAIBIN ROAD DONGGUAN GUANGDONG CN 523860 
MA-L,A81B5A,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,WUSHA,CHANG'AN,DONGGUAN,GUANGDONG,CHINA DONGGUAN GUANGDONG CN 523860 "
MA-L,DC6DCD,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD, DONG GUAN GUANG DONG CN 523860 "
MA-L,A43D78,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD, DONG GUAN GUANG DONG CN 523860 "
MA-L,A09347,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD,WUSHA,CHANG'AN,DONGGUAN,GUANGDONG,CHINA DONGGUAN GUANGDONG CN 523860 "
MA-L,C8F230,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",NO.18 HAIBIN ROAD DONGGUAN GUANGDONG CN 523860 
MA-L,1C77F6,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD","NO.18 HAIBIN ROAD, DONG GUAN GUANG DONG CN 523860 "
