Registry,Assignment,Organization Name,Organization Address
MA-L,80739F,KYOCERA Corporation,2-1-1 Kagahara Yokohama-shi Kanagawa JP 224-8502 
MA-L,34A843,KYOCERA Display Corporation,5-7-18 Higashinippori Arakawa-ku Tokyo JP 116-0014 
MA-L,002294,Kyocera Corporation,"2-1-1,Kagahara Yokohama-shi Kanagawa JP 224-8502 "
MA-L,0017C8,KYOCERA Document Solutions Inc.,"2-14-9, Tamagawadai Tokyo  JP 158-8610 "
MA-L,001460,Kyocera Wireless Corp.,10300 Campus Point Drive San Diego CA US 92121 
MA-L,C421C8,KYOCERA Corporation,"2-1-1,Kagahara, Yokohama-shi Kanagawa JP 224-8502 "
MA-L,00C0EE,KYOCERA CORPORATION,2-14-9 TAMAGAWADAI  158 JP  
MA-L,245FDF,KYOCERA Corporation,"2-1-1,Kagahara, Yokohama-shi Kanagawa JP 224-8502 "
MA-L,6C7660,KYOCERA Corporation,2-1-1 Kagahara Yokohama-shi Kanagawa JP 224-8502 
MA-L,001FBD,Kyocera Wireless Corp.,10300 Campus Point Drive San Diego CA US 92121 
