Registry,Assignment,Organization Name,Organization Address
MA-L,98FFD0,Lenovo Mobile Communication Technology Ltd.,"No.999,Qishan North 2nd Road Xiamen Fujian CN 361006 "
MA-L,503CC4,Lenovo Mobile Communication Technology Ltd.,"No.999,Qishan North 2nd Road,Information&Optoelectronics Park, Xiamen Fujian US 361006 "
MA-L,74042B,Lenovo Mobile Communication (Wuhan) Company Limited,"No.19, Gaoxin 4th Road, Wuhan East Lake High-tech Zone, Wuhan, China  430205 Wuhan Hubei CN 430205 "
MA-L,E02CB2,Lenovo Mobile Communication (Wuhan) Company Limited,"No.19, Gaoxin 4th Road, Wuhan East Lake High-tech Zone, Wuhan, China  430205 Wuhan Hubei CN 430205 "
MA-L,70720D,Lenovo Mobile Communication Technology Ltd.,"No.999, Qishan North 2nd Road, Information & Optoelectronics Park, Torch Hi-tech Industry Development Zone, Xiamen, P.R.China Xiamen Fujian CN 361000 "
MA-L,D4223F,Lenovo Mobile Communication Technology Ltd.,"No.999,Qishan North 2nd Road,Information&Optoelectronics Park,Torch Hi-tech Industry Development Zone, Xiamen Fujian US 361006 "
MA-L,1436C6,Lenovo Mobile Communication Technology Ltd.,"No.999, Qishan North 2nd Road, Information & Optoelectronics Park, Xiamen Fujian  361006 "
MA-L,6C5F1C,Lenovo Mobile Communication Technology Ltd.," No.999, Qishan North 2nd Road, Xiamen 361000 US Fujian "
MA-L,149FE8,Lenovo Mobile Communication Technology Ltd.,"No.999,Qishan North 2nd Road,Information&Optoelectronics Park,Torch Hi-tech Industry Development Zone Xiamen Fujian CN 361006 "
MA-L,AC3870,Lenovo Mobile Communication Technology Ltd.,"No.999, Qishan North 2nd Road, Information & Optoelectronics Park, Xiamen Fujian  361006 "
MA-L,CC07E4,Lenovo Mobile Communication Technology Ltd.,"No.999, Qishan North 2nd Road, Information &amp; Optoelectronics Park, Torch Hi-tech Industry Development Zone, Xiamen, P.R.China Xiamen Fujian US 361006 "
MA-L,C8DDC9,Lenovo Mobile Communication Technology Ltd.,"No.999,Qishan North 2nd Road, Xiamen  Fujian US 361006 "
MA-L,80CF41,Lenovo Mobile Communication Technology Ltd.,"No.999,Qishan North 2nd Road,Information&Optoelectronics Park,Torch Hi-tech Industry Development Zone, Xiamen Fujian US 361006 "
MA-L,EC89F5,Lenovo Mobile Communication Technology Ltd.,"No.999,Qishan North 2nd Road,Information&Optoelectronics Park,Torch Hi-tech Industry Development Zone, Xiamen Fujian US 361006 "
MA-L,0012FE,Lenovo Mobile Communication Technology Ltd.,"Xiamen Overseas Chinese Electronic Science Park,Huoju High Technology Development Zone XIA MEN FU JIAN CN 361009 "
MA-L,60D9A0,Lenovo Mobile Communication Technology Ltd.,"No.999, Qishan North 2nd Road, Information & Optoelectronics Park, Xiamen Fujian  361006 "
MA-L,88708C,Lenovo Mobile Communication Technology Ltd.,"No.999, Qishan North 2nd Road, Information & Optoelectronics Park, Xiamen Fujian  361006 "
MA-L,D87157,Lenovo Mobile Communication Technology Ltd.,"No.999,Qishan North 2nd Road,Information&Optoelectronics Park,Torch Hi-tech Industry Development Zone, Xiamen Fujian CN 361006 "
