Registry,Assignment,Organization Name,Organization Address
MA-L,001256,LG INFORMATION & COMM.,"459-9,KASAN-DONG,KUMCHON-GU, SEOUL  KR 153-023 "
MA-L,0019A1,LG INFORMATION & COMM.,"60-39,Kasan-dong,Kumchon-ku Seoul  KR 153-023 "
MA-L,001C62,LG Electronics Inc,"60-39, Gasan-Dong Seoul  KR 153-023 "
MA-L,001E75,LG Electronics,"60-39,Kasan-dong,Kumchon-ku Seoul  KR 153-801 "
MA-L,001F6B,LG Electronics,"60-39,Kasan-dong,Kumchon-ku Seoul  KR 153-801 "
MA-L,001FE3,LG Electronics,"60-39,Kasan-dong,Kumchon-ku, Seoul  KR 153-801 "
MA-L,0021FB,LG Electronics,"60-39,Kasan-dong,Kumchon-ku, Seoul  KR 153-801 "
MA-L,0022A9,LG Electronics Inc,"60-39, Gasan-Dong Seoul  KR 153-023 "
MA-L,002483,LG Electronics,"60-39,Kasan-dong,Kumchon-ku, Seoul  KR 153-801 "
MA-L,0025E5,LG Electronics Inc,"60-39 ,Gasan-Dong Seoul  KR 153-023 "
MA-L,0026E2,LG Electronics,"60-39,Gasan-dong,Gumcheon-gu Seoul  KR 153-023 "
MA-L,0034DA,LG Electronics (Mobile Communications),"60-39, Gasan-dong, Geumcheon-gu Seoul Seoul KR 153-801 "
MA-L,0050CE,LG INTERNATIONAL CORP.,"LG TWIN TOWERS SEOUL,  150-606  KR  "
MA-L,00AA70,LG Electronics,"603-39 , Kasan-dong, Gumcheon-gu Seoul  KR 153-801 "
MA-L,00E091,"LG ELECTRONICS, INC.","16, WOOMYEON-DONG, SEOCHO-GU, SEOUL, 137-140,  KR  "
MA-L,0C4885,LG Electronics,"60-39, Kasan-dong, Kumchon-gu  Seoul KR 153-801 "
MA-L,10683F,LG Electronics,"603-39 , Kasan-dong, Gumcheon-gu Seoul  KR 153-801 "
MA-L,10F96F,LG Electronics,"603-39 , Kasan-dong, Gumcheon-gu Seoul  KR 153-801 "
MA-L,14C913,LG Electronics,"222 LG-ro, JINWI-MYEON Pyeongtaek-si Gyeonggi-do KR 451-713 "
MA-L,2021A5,LG Electronics Inc,"60-39,Gasan-dong,Gumcheon-gu Seoul  KR 153-023 "
MA-L,2C54CF,LG Electronics,"60-39, Gasan-dong, Geumcheon-gu Seoul  KR 153-801 "
MA-L,30766F,LG Electronics,"60-39, Kasan-dong, Kumchon-gu Seoul  KR 153-801 "
MA-L,344DF7,LG Electronics,"60-39, Gasan-dong, Geumcheon-gu Seoul Seoul KR 153-801 "
MA-L,34FCEF,LG Electronics,"60-39, Gasan-dong, Geumcheon-gu Seoul  KR 153-801 "
MA-L,3CBDD8,LG ELECTRONICS INC,"19-1, CHEONGHO-RI, JINWI-MYEON PYEONGTAEK GYEONGGI-DO KR 451-713 "
MA-L,3CCD93,LG ELECTRONICS INC,"19-1, CHEONGHO-RI, JINWI-MYEON PYEONGTAEK GYEONGGI-DO KR 451-713 "
MA-L,40B0FA,LG Electronics,"603-39 , Kasan-dong, Gumcheon-gu Seoul  KR 153-801 "
MA-L,485929,LG Electronics,"60-39, Gasan-dong, Geumcheon-gu Seoul  KR 153-801 "
MA-L,505527,LG Electronics,"60-39, Gasan-dong, Geumcheon-gu Seoul  KR 153-801 "
MA-L,583F54,LG Electronics (Mobile Communications),"60-39, Gasan-dong, Geumcheon-gu Seoul Seoul KR 153-801 "
MA-L,58A2B5,LG Electronics,"60-39, Kasan-dong, Kumchon-gu Seoul  KR 153-801 "
MA-L,5C17D3,LGE ,"60-39 , Kasan -dong , Gumcheon-gu. Seoul   KR 153-801 "
MA-L,5C70A3,LG Electronics (Mobile Communications),"60-39, Gasan-dong, Geumcheon-gu Seoul Seoul KR 153-801 "
MA-L,64899A,LG Electronics,"60-39, Gasan-dong, Geumcheon-gu Seoul  KR 153-801 "
MA-L,64995D,LGE ,"60-39 , Kasan -dong , Gumcheon-gu. Seoul   KR 153-801 "
MA-L,64BC0C,LG Electronics,"60-39, Gasan-dong, Geumcheon-gu Seoul Seoul KR 153-801 "
