Registry,Assignment,Organization Name,Organization Address
MA-L,38F23E,Microsoft Mobile Oy,Keilalahdentie 4 Espoo  FI 02150 
MA-L,B4E1C4,Microsoft Mobile Oy,Keilalahdentie 4 Espoo  FI 02150 
MA-L,300D43,Microsoft Mobile Oy,Keilalahdentie 2-4 Espoo N.A. FI 02150 
MA-L,6C2779,Microsoft Mobile Oy,Keilalahdentie 4 ESPOO  FI 02150 
MA-L,607EDD,Microsoft Mobile Oy,Keilalahdentie 4 ESPOO  FI 02150 
MA-L,6C8FB5,Microsoft Mobile Oy,Keilalahdentie 4 Espoo  FI 02150 
MA-L,6C2483,Microsoft Mobile Oy,Keilalahdentie 4 Espoo  FI 02150 
MA-L,A4516F,Microsoft Mobile Oy,Keilalahdentie 4 Espoo  FI 02150 
MA-L,E498D1,Microsoft Mobile Oy,Keilalahdentie 4 ESPOO  FI 02150 
MA-L,5CCA1A,Microsoft Mobile Oy,Keilalahdentie 4 Espoo  FI 02150 
