Registry,Assignment,Organization Name,Organization Address
MA-L,38F23E,Microsoft Mobile Oy,Keilalahdentie 4 Espoo  FI 02150 
MA-L,485073,Microsoft Corporation,1 Microsoft Way Redmond Washington FI 98052 
MA-L,74E28C,Microsoft Corporation,1 Microsoft Way Redmond Washington FI 98052 
MA-L,8463D6,Microsoft Corporation,1 Microsoft Way Redmond Washington FI 98052 
MA-L,D48F33,Microsoft Corporation,1 Microsoft Way Redmond Washington FI 98052 
MA-L,00155D,Microsoft Corporation,One Microsoft Way Redmond WA US 98052-8300 
MA-L,0050F2,MICROSOFT CORP.,ONE MICROSOFT WAY REDMOND WA US 98052-6399 
MA-L,985FD3,Microsoft Corporation,One Microsoft Way REDMOND WA US 98052 
MA-L,9C6C15,Microsoft Corporation,1 Microsoft Way Redmond Washington FI 98052 
MA-L,4886E8,Microsoft Corporation,1 Microsoft Way Redmond Washington FI 98052 
MA-L,2C2997,Microsoft Corporation,1 Microsoft Way Redmond Washington FI 98052 
MA-L,102F6B,Microsoft Corporation,1 Microsoft Way Redmond Washington FI 98052 
MA-L,281878,Microsoft Corporation,One Microsoft Way Redmond Washington US 98052-6399 
MA-L,6045BD,Microsoft,1 Microsoft Way Redmond Washington US 98052 
MA-L,7CED8D,Microsoft,1 Microsoft Way Redmond Washington US 98052 
MA-L,000D3A,Microsoft Corp.,One Microsoft Way Redmond Wa. US 98052 
MA-L,B4E1C4,Microsoft Mobile Oy,Keilalahdentie 4 Espoo  FI 02150 
MA-L,300D43,Microsoft Mobile Oy,Keilalahdentie 2-4 Espoo N.A. FI 02150 
MA-L,6C2779,Microsoft Mobile Oy,Keilalahdentie 4 ESPOO  FI 02150 
MA-L,607EDD,Microsoft Mobile Oy,Keilalahdentie 4 ESPOO  FI 02150 
MA-L,C83F26,Microsoft Corporation,One Microsoft Way REDMOND WA US 98052 
MA-L,80C5E6,Microsoft Corporation,1 Microsoft Way Redmond Washington FI 98052 
MA-L,206274,Microsoft Corporation,1 Microsoft Way Redmond Washington FI 98052 
MA-L,0025AE,Microsoft Corporation,One Microsoft Way Redmond Washington US 98052-6399 
MA-L,00125A,Microsoft Corporation,One Microsoft Way Redmond Washington US 98052-6399 
MA-L,6C8FB5,Microsoft Mobile Oy,Keilalahdentie 4 Espoo  FI 02150 
MA-L,6C2483,Microsoft Mobile Oy,Keilalahdentie 4 Espoo  FI 02150 
MA-L,5882A8,Microsoft,1 Microsoft Way Redmond Washington US 98052 
MA-L,B4AE2B,Microsoft,1 Microsoft Way Redmond Washington US 98052 
MA-L,0C413E,Microsoft Corporation,1 Microsoft Way Redmond Washington FI 98052 
MA-L,D0929E,Microsoft Corporation,1 Microsoft Way Redmond Washington FI 98052 
MA-L,B84FD5,Microsoft Corporation,1 Microsoft Way Redmond Washington FI 98052 
MA-L,EC59E7,Microsoft Corporation,1 Microsoft Way Redmond Washington FI 98052 
MA-L,3059B7,Microsoft,1 Microsoft Way Redmond Washington US 98052 
MA-L,501AC5,Microsoft,1 Microsoft Way Redmond Washington US 98052 
MA-L,002248,Microsoft Corporation,One Microsoft Way Redmond Washington US 98052-6399 
IAB,0050C2003,Microsoft,Bldg 32/2316 Redmond WA US 98052 
MA-L,A4516F,Microsoft Mobile Oy,Keilalahdentie 4 Espoo  FI 02150 
MA-L,3C8375,Microsoft Corporation,1 Microsoft Way Redmond Washington FI 98052 
MA-L,149A10,Microsoft Corporation,1 Microsoft Way Redmond Washington FI 98052 
MA-L,0CE725,Microsoft Corporation,1 Microsoft Way Redmond Washington FI 98052 
MA-L,C0335E,Microsoft,1 Microsoft Way Redmond Washington US 98052 
MA-L,20A99B,Microsoft Corporation,1 Microsoft Way Redmond Washington FI 98052 
MA-L,4C0BBE,Microsoft,1 Microsoft Way Redmond Washington US 98052 
MA-L,7C1E52,Microsoft,1 Microsoft Way Redmond Washington US 98052 
MA-L,DCB4C4,Microsoft XCG,1 Microsoft Way Redmond WA US 98052 
MA-L,001DD8,Microsoft Corporation,One Microsoft Way Redmond Washington US 98052-6399 
MA-L,0017FA,Microsoft Corporation,One Microsoft Way Redmond Washington US 98052-6399 
MA-L,0003FF,Microsoft Corporation,1 Microsoft Way Redmond WA US 98052 
MA-L,E498D1,Microsoft Mobile Oy,Keilalahdentie 4 ESPOO  FI 02150 
MA-L,5CCA1A,Microsoft Mobile Oy,Keilalahdentie 4 Espoo  FI 02150 
