Registry,Assignment,Organization Name,Organization Address
MA-L,806C1B,"Motorola Mobility LLC, a Lenovo Company","222 Merchandise Mart Plaza, Suite 1800 Chicago IL US 60654 "
MA-L,A470D6,"Motorola Mobility LLC, a Lenovo Company","222 Merchandise Mart Plaza, Suite 1800 Chicago IL US 60654 "
MA-L,84100D,"Motorola Mobility LLC, a Lenovo Company",222 West Merchandise Mart Plaza Chicago IL US 60654 
MA-L,5C5188,"Motorola Mobility LLC, a Lenovo Company",222 West Merchandise Mart Plaza Chicago IL US 60654 
MA-L,E89120,"Motorola Mobility LLC, a Lenovo Company",222 West Merchandise Mart Plaza Chicago IL US 60654 
MA-L,E09861,"Motorola Mobility LLC, a Lenovo Company",222 West Merchandise Mart Plaza Chicago IL US 60654 
MA-L,F4F1E1,"Motorola Mobility LLC, a Lenovo Company","222 Merchandise Mart Plaza, Suite 1800 Chicago IL US 60654 "
MA-L,60BEB5,"Motorola Mobility LLC, a Lenovo Company",600 North US Highway 45 Libertyville IL US 60048 
MA-L,24DA9B,"Motorola Mobility LLC, a Lenovo Company",222 West Merchandise Mart Plaza Chicago IL US 60654 
MA-L,1C56FE,"Motorola Mobility LLC, a Lenovo Company",222 West Merchandise Mart Plaza Chicago IL US 60654 
MA-L,E4907E,"Motorola Mobility LLC, a Lenovo Company",222 West Merchandise Mart Plaza Chicago IL US 60654 
MA-L,F8CFC5,"Motorola Mobility LLC, a Lenovo Company",222 West Merchandise Mart Plaza Chicago IL US 60654 
MA-L,9CD917,"Motorola Mobility LLC, a Lenovo Company","222 Merchandise Mart Plaza, Suite 1800 Chicago IL US 60654 "
MA-L,9068C3,"Motorola Mobility LLC, a Lenovo Company","222 Merchandise Mart Plaza, Suite 1800 Chicago IL US 60654 "
MA-L,408805,"Motorola Mobility LLC, a Lenovo Company",222 West Merchandise Mart Plaza Chicago IL US 60654 
MA-L,F8F1B6,"Motorola Mobility LLC, a Lenovo Company",600 North US Highway 45 Libertyville IL US 60048 
MA-L,88797E,"Motorola Mobility LLC, a Lenovo Company",222 West Merchandise Mart Plaza Chicago IL US 60654 
MA-L,4480EB,"Motorola Mobility LLC, a Lenovo Company",222 West Merchandise Mart Plaza Chicago IL US 60654 
MA-L,EC8892,"Motorola Mobility LLC, a Lenovo Company","222 Merchandise Mart Plaza, Suite 1800 Chicago IL US 60654 "
MA-L,B07994,"Motorola Mobility LLC, a Lenovo Company",600 North US Hwy 45 Libertyville IL US 60048 
MA-L,141AA3,"Motorola Mobility LLC, a Lenovo Company","222 Merchandise Mart Plaza, Suite 1800 Chicago IL US 60654 "
MA-L,CCC3EA,"Motorola Mobility LLC, a Lenovo Company",600 North US Highway 45 Libertyville IL US 60048 
MA-L,34BB26,"Motorola Mobility LLC, a Lenovo Company",600 North US Highway 45 Libertyville IL US 60048 
MA-L,40786A,"Motorola Mobility LLC, a Lenovo Company","222 Merchandise Mart Plaza, Suite 1800 Chicago IL US 60654 "
MA-L,68C44D,"Motorola Mobility LLC, a Lenovo Company",222 West Merchandise Mart Plaza Chicago IL US 60654 
MA-L,F8E079,"Motorola Mobility LLC, a Lenovo Company",600 North US Highway 45 Libertyville IL US 60048 
MA-L,1430C6,"Motorola Mobility LLC, a Lenovo Company",600 North US Highway 45 Libertyville IL US 60048 
MA-L,E0757D,"Motorola Mobility LLC, a Lenovo Company",600 North US Highway 45 Libertyville IL US 60048 
