Registry,Assignment,Organization Name,Organization Address
MA-L,A481EE,Nokia Corporation,Joensuunkatu 7 Salo N.A. FI 24101 
MA-L,4C7F62,Nokia Corporation,Joensuunkatu 7 Salo N.A. FI 24101 
MA-L,407A80,Nokia Corporation,Joensuunkatu 7 Salo N.A. FI 24101 
MA-L,B05CE5,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,D4C1FC,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,48DCFB,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,E0A670,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,6C9B02,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,2CD2E7,Nokia Corporation,Elektroniikkatie 10 Oulu Ou FI 90590 
MA-L,0CDDEF,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,544408,Nokia Corporation,Joensuunkatu 7 Salo Varsinais-Suomi FI 24101 
MA-L,C8D10B,Nokia Corporation,Joensuunkatu 7 Salo  FI 24101 
MA-L,C8979F,Nokia Corporation,Joensuunkatu 7 Salo Varsinais-Suomi FI 24101 
MA-L,F4F5A5,Nokia Corporation,Joensuunkatu 7 Salo  FI 24101 
MA-L,3CC243,Nokia Corporation,Joensuunkatu 7 Salo NA FI 24101 
MA-L,3C189F,Nokia Corporation,Joensuunkatu 7 Salo N.A. FI 24101 
MA-L,DCF110,Nokia Corporation,Joensuunkatu 7 Salo N.A. FI 24101 
MA-L,CC89FD,Nokia Corporation,Joensuunkatu 7 Salo N.A. FI 24101 
MA-L,DCC793,Nokia Corporation,Joensuunkatu 7 Salo N.A. FI 24101 
MA-L,A47760,Nokia Corporation,Joensuunkatu 7 Salo N.A. FI 24101 
MA-L,DC9FA4,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,34C803,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,940070,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,502D1D,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,28D1AF,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,6CA780,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,78CA04,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,A071A9,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,20D607,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,80501B,Nokia Corporation,Joensuunkatu 7 Salo Varsinais-Suomi FI 24101 
MA-L,3C25D7,Nokia Corporation,Joensuunkatu 7 Salo N.A. FI 24101 
MA-L,2847AA,Nokia Corporation,Joensuunkatu 7 Salo N.A. FI 24101 
MA-L,708D09,Nokia Corporation,Joensuunkatu 7 Salo N.A. FI 24101 
MA-L,C83D97,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,38192F,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,A0F419,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,F48E09,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,6CE907,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,AC81F3,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,10F9EE,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,A8E018,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,942053,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,3CF72A,Nokia Corporation,Elektroniikkatie 10 Oulu  FI 90570 
MA-L,00192D,Nokia Corporation,Rensingstraße 15 Bochum NRW DE 44807 
MA-L,ECF35B,Nokia Corporation,Joensuunkatu 7 Salo Varsinais-Suomi FI 24101 
