Registry,Assignment,Organization Name,Organization Address
MA-L,BC6E64,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 22128 
MA-L,A0E453,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 22128 
MA-L,1C7B21,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 22128 
MA-L,2421AB,Sony Mobile Communications AB,Nya Vattentornet Lund Skåne SE 22188 
MA-L,6C23B9,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 221 88 
MA-L,58170C,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 221 88 
MA-L,B8F934,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 221 88 
MA-L,205476,Sony Mobile Communications AB,Mobilvägen 10 Lund  SE 22188 
MA-L,303926,Sony Mobile Communications AB,Mobilvägen 10 Lund  SE 22181 
MA-L,00EB2D,Sony Mobile Communications AB,Nya Vattentornet  Lund SE SE 22188 
MA-L,00219E,Sony Mobile Communications AB,Nya Vattentornet Lund Skåne SE 22188 
MA-L,001E45,Sony Mobile Communications AB,Nya Vattentornet Lund  SE SE-221 88 
MA-L,001813,Sony Mobile Communications AB,Nya Vattentornet Lund Skåne SE 22188 
MA-L,4040A7,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 22128 
MA-L,40B837,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 22128 
MA-L,C43ABE,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 22128 
MA-L,307512,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 22128 
MA-L,4C21D0,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 22128 
MA-L,402BA1,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 221 88 
MA-L,0025E7,Sony Mobile Communications AB,Nya Vattentornet Lund Skåne SE 22188 
MA-L,D05162,Sony Mobile Communications AB,Nya Vattentornet  Lund SE SE 22188 
MA-L,94CE2C,Sony Mobile Communications AB,Nya Vattentornet  Lund SE SE 22188 
MA-L,001620,Sony Mobile Communications AB,Nya Vattentornet Lund  SE SE-221 88 
MA-L,0012EE,Sony Mobile Communications AB,Nya Vattentornet Lund  SE SE-221 88 
MA-L,44746C,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 22128 
MA-L,30A8DB,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 22128 
MA-L,000AD9,Sony Mobile Communications AB,Nya Vattentornet Lund  SE SE-221 88 
MA-L,000FDE,Sony Mobile Communications AB,Nya Vattentornet Lund  SE SE-221 88 
MA-L,001EDC,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 221 88 
MA-L,001963,Sony Mobile Communications AB,Nya Vattentornet Lund  SE SE-221 88 
MA-L,001B59,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 221 88 
MA-L,0023F1,Sony Mobile Communications AB,Nya Vattentornet Lund Skåne SE 22188 
MA-L,3017C8,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 221 88 
MA-L,18002D,Sony Mobile Communications AB,Nya Vattentornet  Lund SE SE 22188 
MA-L,584822,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 22128 
MA-L,68764F,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 22128 
MA-L,0024EF,Sony Mobile Communications AB,Nya Vattentornet Lund Skåne SE 22188 
MA-L,6C0E0D,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 221 88 
MA-L,B4527D,Sony Mobile Communications AB,Nya Vattentornet  Lund SE SE 22188 
MA-L,E063E5,Sony Mobile Communications AB,Nya Vattentornet  Lund SE SE 22188 
MA-L,000E07,Sony Mobile Communications AB,Nya Vattentornet Lund  SE SE-221 88 
MA-L,001A75,Sony Mobile Communications AB,Nya Vattentornet Lund Skåne SE 22188 
MA-L,0016B8,Sony Mobile Communications AB,Nya Vattentornet Lund Skåne SE 22188 
MA-L,001D28,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 221 88 
MA-L,001FE4,Sony Mobile Communications AB,Nya Vattentornet Lund Skåne SE 22188 
MA-L,002298,Sony Mobile Communications AB,Nya Vattentornet Lund Skåne SE 22188 
MA-L,848EDF,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 22128 
MA-L,44D4E0,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 22128 
MA-L,B4527E,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 22128 
MA-L,001CA4,Sony Mobile Communications AB,Nya Vattentornet Lund Skåne SE 22188 
MA-L,002345,Sony Mobile Communications AB,Nya Vattentornet Lund Skåne SE 22188 
MA-L,8C6422,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 221 88 
MA-L,90C115,Sony Mobile Communications AB,Mobilvägen 10 Lund  SE 22181 
MA-L,8400D2,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 22188 
MA-L,5CB524,Sony Mobile Communications AB,Mobilvägen 10 Lund  SE 22181 
MA-L,9C5CF9,Sony Mobile Communications AB,Nya Vattentornet Lund SE SE 22128 
