Registry,Assignment,Organization Name,Organization Address
MA-L,F8A45F,Xiaomi Communications Co Ltd,"The Rainbow City of China Resources,NO 68,Qinghe Middle Street,Haidian District,Beijing,China 100085 Beijing Beijing CN 100085 "
MA-L,8CBEBE,Xiaomi Communications Co Ltd,"The Rainbow City of China Resources, Haidian District Beijing CN 100085 "
MA-L,640980,Xiaomi Communications Co Ltd,"Xiaomi Building, No.68 Qinghe Middle Street Beijing Beijing CN 100085 "
MA-L,98FAE3,Xiaomi Communications Co Ltd,"Office Building,The Rainbow City of China Resources, NO.68,Qinghe Middle Street,Haidian District,Beijing,China,100085 Beijing Beijing CN 100085 "
MA-L,185936,Xiaomi Communications Co Ltd,"The Rainbow city of China Resource,NO.68,Qinghe Middle street,Haidian District,Beijing,Chian. Beijing Beijing CN 100085 "
MA-L,9C99A0,Xiaomi Communications Co Ltd,"The Rainbow city of China Resource,NO.68,Qinghe Middle street,Haidian District,Beijing,Chian. Beijing Beijing CN 100085 "
MA-L,14F65A,Xiaomi Communications Co Ltd,"Office Building,The Rainbow City of China Resources, NO.68,Qinghe Middle Street,Haidian District,Beijing,China,100085 Beijing Beijing CN 100085 "
MA-L,0C1DAF,Xiaomi Communications Co Ltd,"Office Building,The Rainbow City of China Resources, NO.68,Qinghe Middle Street,Haidian District,Beijing,China,100085 Beijing Beijing CN 100085 "
MA-L,28E31F,Xiaomi Communications Co Ltd,"Office Building,The Rainbow City of China Resources, NO.68,Qinghe Middle Street,Haidian District,Beijing,China,100085 Beijing Beijing CN 100085 "
MA-L,F0B429,Xiaomi Communications Co Ltd,"Xiaomi Building, No.68 Qinghe Middle Street Beijing Beijing CN 100085 "
MA-L,D4970B,Xiaomi Communications Co Ltd,The Rainbow City of China Resources Haidian District Beijing CN 100085 
MA-L,F48B32,Xiaomi Communications Co Ltd,"The Rainbow city of China Resource,NO.68,Qinghe Middle street,Haidian District,Beijing,Chian. Beijing Beijing CN 100085 "
MA-L,64CC2E,Xiaomi Communications Co Ltd,Qinghe Middle street Beijing  CN 100085 
MA-L,B0E235,Xiaomi Communications Co Ltd,Qinghe Middle street Beijing  CN 100085 
MA-L,ACF7F3,Xiaomi Communications Co Ltd,"Quanshitiandi Tower A,12th Floor, Jia 50 Wangjing Xilu bejing Beijing CN 100102 "
MA-L,009EC8,Xiaomi Communications Co Ltd,"Floor 2, Building 7, TianChangYuan, MeiTiCun, Bejing Beijing CN 100107 "
MA-L,7C1DD9,Xiaomi Communications Co Ltd,"The Rainbow city of Chian Resource,NO.68,Qinghe Middle Street.Haidian District, Beijing  CN 100085 "
MA-L,A086C6,Xiaomi Communications Co Ltd,"The Rainbow city of China Resource,NO.68,Qinghe Middle street,Haidian District,Beijing,Chian. Beijing Beijing CN 100085 "
MA-L,584498,Xiaomi Communications Co Ltd,"The Rainbow city of China Resource,NO.68,Qinghe Middle street,Haidian District,Beijing,Chian. Beijing Beijing CN 100085 "
MA-L,102AB3,Xiaomi Communications Co Ltd,Qinghe Middle street Beijing  CN 100085 
MA-L,FC64BA,Xiaomi Communications Co Ltd,Qinghe Middle street Beijing  CN 100085 
MA-L,C46AB7,Xiaomi Communications Co Ltd,"Quanshitiandi Tower A,8th Floor,jia50-1 Wangjing Xilu,Chaoyang District, Beijing, China 100102 Beijing Beijing CN 100102 "
MA-L,68DFDD,Xiaomi Communications Co Ltd,"Office Building,The Rainbow City of China Resources, NO.68,Qinghe Middle Street,Haidian District,Beijing,China,100085 Beijing Beijing CN 100085 "
MA-L,64B473,Xiaomi Communications Co Ltd,"Office Building,The Rainbow City of China Resources, NO.68,Qinghe Middle Street,Haidian District,Beijing,China,100085 Beijing Beijing CN 100085 "
MA-L,7451BA,Xiaomi Communications Co Ltd,"The Rainbow city of China Resource,NO.68,Qinghe Middle street,Haidian District,Beijing,Chian. Beijing Beijing CN 100085 "
MA-L,3480B3,Xiaomi Communications Co Ltd,"The Rainbow city of China Resource,NO.68,Qinghe Middle street,Haidian District,Beijing,Chian. Beijing Beijing CN 100085 "
MA-L,2082C0,Xiaomi Communications Co Ltd,Qinghe Middle street Beijing  CN 100085 
